"","nuvirdi","teg_eign","ibm2","fjbilsk","fjherb","fjstof","matssvaedi","nafn_baer"
"3334",13720,"Íbúðareign",68.4,0,1,1,6030,"Akureyri: Efri brekka"
"3335",25689,"Raðhús",82.2,0,2,1,2040,"Njarðvík"
"3336",79522,"Einbýlishús",214.1,0,4,3,500,"Garðabær"
"3337",18450,"Íbúðareign",75.2,0,2,1,840,"Mosfellsbær: Höfðar, Hlíðar"
"3338",18950,"Einbýlishús",108.9,0,3,1,8010,"Selfoss"
"3339",29955,"Einbýlishús",140.5,0,3,2,500,"Garðabær"
"3340",22914,"Íbúðareign",101.4,0,4,1,650,"Hafnarfjörður - Setberg"
"3341",9438,"Parhús",57.2,0,2,1,7110,"Egilsstaðir"
"3342",16949,"Einbýlishús",103,0,3,1,6040,"Akureyri: Glerárhverfi"
"3343",29774,"Einbýlishús",132.2,0,4,1,6030,"Akureyri: Efri brekka"
"3344",19800,"Raðhús",164.8,0,3,1,2080,"Ásbrú"
"3345",14404,"Íbúðareign",47.6,0,1,1,100,"Laugarneshverfi/Vogar"
"3346",18742,"Íbúðareign",76.4,0,3,1,100,"Laugarneshverfi/Vogar"
"3347",54379,"Raðhús",165.2,0,24,1,85,"Kringlan"
"3348",29236,"Íbúðareign",104.5,1,2,2,90,"Holt/Tún"
"3349",12901,"Íbúðareign",113.3,0,3,1,3000,"Akranes"
"3350",73102,"Einbýlishús",246.9,0,6,4,75,"Skerjafjörður"
"3351",17890,"Íbúðareign",61.8,0,1,1,280,"Fossvogur"
"3352",21414,"Íbúðareign",123.4,0,4,2,161,"Fell"
"3353",24734,"Íbúðareign",88.8,0,3,1,840,"Mosfellsbær: Höfðar, Hlíðar"
"3354",35540,"Íbúðareign",151,0,4,2,120,"Grafarvogur: Hamrar, Foldir, Hús"
"3355",22857,"Íbúðareign",96.5,0,3,2,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"3356",40139,"Íbúðareign",120.7,0,3,2,70,"Melar: Að sjó"
"3357",23437,"Íbúðareign",100.2,0,2,2,91,"Háaleiti/Skeifa"
"3358",17787,"Íbúðareign",89.1,0,3,1,170,"Neðra-Breiðholt"
"3359",25177,"Íbúðareign",57.6,0,1,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"3360",20365,"Íbúðareign",77.8,0,2,1,220,"Selás"
"3361",13031,"Íbúðareign",56.1,0,1,1,200,"Árbær"
"3362",14187,"Íbúðareign",60.1,0,1,1,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"3363",29087,"Íbúðareign",100,0,2,2,85,"Kringlan"
"3364",18487,"Íbúðareign",57,0,2,1,25,"Miðbær: Frá Bræðraborgarstíg að Tjörn"
"3365",32697,"Íbúðareign",118.6,0,3,1,100,"Laugarneshverfi/Vogar"
"3366",29965,"Íbúðareign",112.4,0,4,1,280,"Fossvogur"
"3367",15094,"Íbúðareign",51.9,0,1,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"3368",20748,"Raðhús",120.9,0,4,1,5110,"Sauðárkrókur"
"3369",2903,"Einbýlishús",42.5,0,1,0,6130,"Ólafsfjörður"
"3370",18849,"Parhús",90.3,0,2,1,8020,"Hveragerði"
"3371",28331,"Íbúðareign",99.4,1,3,1,510,"Garðabær: Sjáland"
"3372",22691,"Íbúðareign",87.9,0,0,1,500,"Garðabær"
"3373",22252,"Íbúðareign",105.9,0,2,1,680,"Hafnarfjörður - Börð"
"3374",18623,"Íbúðareign",97.4,0,3,1,320,"Kópavogur: Austurbær"
"3375",6306,"Íbúðareign",100.7,0,3,1,7120,"Seyðisfjörður"
"3376",12060,"Íbúðareign",92,0,3,1,7110,"Egilsstaðir"
"3377",18000,"Íbúðareign",62,0,2,1,283,"Hvassaleiti"
"3378",25270,"Íbúðareign",105.9,0,0,1,840,"Mosfellsbær: Höfðar, Hlíðar"
"3379",39332,"Íbúðareign",144.8,1,2,2,85,"Kringlan"
"3380",28442,"Íbúðareign",96.8,2,3,1,70,"Melar: Að sjó"
